Archivo,Peso (KB),Algoritmo,CPU Encrypt (%),CPU Decrypt (%)
text_078.txt,25.59,AES,12.5,4.2
text_078.txt,25.59,3DES,2.6,0
text_078.txt,25.59,ChaCha20,2.6,17.1
text_078.txt,25.59,Camellia,10.4,2.6
text_079.txt,25.92,AES,20.5,0
text_079.txt,25.92,3DES,22.5,12.9
text_079.txt,25.92,ChaCha20,1.4,5.5
text_079.txt,25.92,Camellia,2.6,10.3
text_080.txt,26.25,AES,24.2,3.7
text_080.txt,26.25,3DES,0,8.3
text_080.txt,26.25,ChaCha20,10.0,39.0
text_080.txt,26.25,Camellia,5.2,0
text_081.txt,26.57,AES,22.4,6.5
text_081.txt,26.57,3DES,18.4,23.5
text_081.txt,26.57,ChaCha20,0,6.2
text_081.txt,26.57,Camellia,39.2,34.9
text_082.txt,26.90,AES,37.8,6.6
text_082.txt,26.90,3DES,1.3,19.2
text_082.txt,26.90,ChaCha20,14.1,22.6
text_082.txt,26.90,Camellia,4.7,23.2
text_083.txt,27.23,AES,18.1,6.5
text_083.txt,27.23,3DES,5.6,14.1
text_083.txt,27.23,ChaCha20,1.4,13.9
text_083.txt,27.23,Camellia,9.7,23.4
text_084.txt,27.56,AES,16.0,0
text_084.txt,27.56,3DES,1.2,16.7
text_084.txt,27.56,ChaCha20,29.2,4.2
text_084.txt,27.56,Camellia,1.4,0
text_085.txt,27.89,AES,34.2,12.3
text_085.txt,27.89,3DES,18.7,16.7
text_085.txt,27.89,ChaCha20,5.5,0
text_085.txt,27.89,Camellia,13.6,12.2
text_086.txt,28.21,AES,7.7,5.2
text_086.txt,28.21,3DES,1.2,1.2
text_086.txt,28.21,ChaCha20,6.8,2.8
text_086.txt,28.21,Camellia,0,4.2
text_087.txt,28.54,AES,0,19.7
text_087.txt,28.54,3DES,4.8,13.9
text_087.txt,28.54,ChaCha20,28.8,0
text_087.txt,28.54,Camellia,21.4,3.7
text_088.txt,28.87,AES,20.5,4.0
text_088.txt,28.87,3DES,12.7,4.0
text_088.txt,28.87,ChaCha20,13.1,6.2
text_088.txt,28.87,Camellia,2.7,5.6
text_089.txt,29.20,AES,10.9,14.8
text_089.txt,29.20,3DES,28.8,22.9
text_089.txt,29.20,ChaCha20,5.0,5.1
text_089.txt,29.20,Camellia,3.8,12.7
text_090.txt,29.53,AES,9.7,8.2
text_090.txt,29.53,3DES,17.7,5.3
text_090.txt,29.53,ChaCha20,27.0,14.3
text_090.txt,29.53,Camellia,39.4,13.9
text_091.txt,29.86,AES,25.7,22.2
text_091.txt,29.86,3DES,17.3,18.9
text_091.txt,29.86,ChaCha20,3.8,15.9
text_091.txt,29.86,Camellia,5.3,22.1
text_092.txt,30.18,AES,4.2,14.3
text_092.txt,30.18,3DES,2.8,14.9
text_092.txt,30.18,ChaCha20,41.7,17.9
text_092.txt,30.18,Camellia,20.2,5.4
text_093.txt,30.51,AES,38.5,9.0
text_093.txt,30.51,3DES,15.1,2.7
text_093.txt,30.51,ChaCha20,12.3,0
text_093.txt,30.51,Camellia,10.0,11.5
text_094.txt,30.84,AES,0,20.8
text_094.txt,30.84,3DES,22.4,3.8
text_094.txt,30.84,ChaCha20,10.4,22.4
text_094.txt,30.84,Camellia,9.4,3.6
text_095.txt,31.17,AES,14.3,20.8
text_095.txt,31.17,3DES,19.2,0
text_095.txt,31.17,ChaCha20,9.2,5.9
text_095.txt,31.17,Camellia,6.8,6.0
text_096.txt,31.50,AES,0,17.6
text_096.txt,31.50,3DES,6.7,8.9
text_096.txt,31.50,ChaCha20,11.2,20.0
text_096.txt,31.50,Camellia,7.1,0
text_097.txt,31.82,AES,13.7,10.4
text_097.txt,31.82,3DES,12.5,4.7
text_097.txt,31.82,ChaCha20,13.1,7.1
text_097.txt,31.82,Camellia,20.5,4.2
text_098.txt,32.15,AES,4.2,8.3
text_098.txt,32.15,3DES,0,36.9
text_098.txt,32.15,ChaCha20,12.9,28.2
text_098.txt,32.15,Camellia,19.8,11.4
text_099.txt,32.48,AES,9.7,8.2
text_099.txt,32.48,3DES,7.9,6.6
text_099.txt,32.48,ChaCha20,15.1,6.5
text_099.txt,32.48,Camellia,7.7,5.3
text_100.txt,32.81,AES,16.7,1.2
text_100.txt,32.81,3DES,13.8,3.8
text_100.txt,32.81,ChaCha20,15.3,2.8
text_100.txt,32.81,Camellia,0,15.3
