Archivo,Peso (KB),Algoritmo,CPU Encrypt (%),CPU Decrypt (%)
audio_065.mp3,3143.40,3DES,16.5,12.7
audio_065.mp3,3143.40,ChaCha20,23.8,4.9
audio_065.mp3,3143.40,Camellia,20.0,6.8
audio_066.mp3,3192.38,AES,6.2,25.3
audio_066.mp3,3192.38,3DES,24.6,24.5
audio_066.mp3,3192.38,ChaCha20,55.4,18.7
audio_066.mp3,3192.38,Camellia,6.2,57.5
audio_067.mp3,3240.75,AES,27.8,17.2
audio_067.mp3,3240.75,3DES,25.6,20.9
audio_067.mp3,3240.75,ChaCha20,6.2,5.3
audio_067.mp3,3240.75,Camellia,5.7,14.9
audio_068.mp3,3289.72,AES,22.2,5.8
audio_068.mp3,3289.72,3DES,22.1,17.7
audio_068.mp3,3289.72,ChaCha20,24.1,31.1
audio_068.mp3,3289.72,Camellia,2.5,8.8
audio_069.mp3,3338.09,AES,6.1,20.7
audio_069.mp3,3338.09,3DES,17.2,11.3
audio_069.mp3,3338.09,ChaCha20,30.0,1.3
audio_069.mp3,3338.09,Camellia,2.5,15.9
audio_070.mp3,3387.07,AES,17.7,20.3
audio_070.mp3,3387.07,3DES,11.6,19.7
audio_070.mp3,3387.07,ChaCha20,0,21.2
audio_070.mp3,3387.07,Camellia,14.5,18.2
audio_071.mp3,3436.05,AES,7.7,0
audio_071.mp3,3436.05,3DES,17.4,14.2
audio_071.mp3,3436.05,ChaCha20,55.4,23.2
audio_071.mp3,3436.05,Camellia,9.2,11.3
audio_072.mp3,3484.42,AES,4.8,0
audio_072.mp3,3484.42,3DES,12.9,16.8
audio_072.mp3,3484.42,ChaCha20,12.8,5.1
audio_072.mp3,3484.42,Camellia,2.7,2.7
audio_073.mp3,3533.40,AES,2.6,16.9
audio_073.mp3,3533.40,3DES,13.1,15.2
audio_073.mp3,3533.40,ChaCha20,11.4,14.7
audio_073.mp3,3533.40,Camellia,19.3,1.3
audio_074.mp3,3581.76,AES,25.6,13.2
audio_074.mp3,3581.76,3DES,19.7,15.3
audio_074.mp3,3581.76,ChaCha20,27.6,20.0
audio_074.mp3,3581.76,Camellia,4.2,3.7
audio_075.mp3,3630.75,AES,15.3,9.1
audio_075.mp3,3630.75,3DES,12.9,14.9
audio_075.mp3,3630.75,ChaCha20,6.8,18.1
audio_075.mp3,3630.75,Camellia,13.0,11.1
audio_076.mp3,3679.11,AES,23.0,10.7
audio_076.mp3,3679.11,3DES,22.0,14.5
audio_076.mp3,3679.11,ChaCha20,19.0,33.7
audio_076.mp3,3679.11,Camellia,11.9,1.4
audio_077.mp3,3728.09,AES,5.0,22.7
audio_077.mp3,3728.09,3DES,14.5,17.0
audio_077.mp3,3728.09,ChaCha20,18.0,14.8
audio_077.mp3,3728.09,Camellia,11.2,10.4
audio_078.mp3,3777.07,AES,2.8,8.3
audio_078.mp3,3777.07,3DES,18.3,14.6
audio_078.mp3,3777.07,ChaCha20,7.8,7.1
audio_078.mp3,3777.07,Camellia,8.2,11.1
audio_079.mp3,3825.44,AES,3.9,2.8
audio_079.mp3,3825.44,3DES,24.1,16.2
audio_079.mp3,3825.44,ChaCha20,26.6,10.7
audio_079.mp3,3825.44,Camellia,7.7,4.0
audio_080.mp3,3874.42,AES,1.3,16.7
audio_080.mp3,3874.42,3DES,11.8,14.2
audio_080.mp3,3874.42,ChaCha20,4.1,13.9
audio_080.mp3,3874.42,Camellia,51.4,1.3
audio_081.mp3,3922.79,AES,0,2.5
audio_081.mp3,3922.79,3DES,19.0,19.2
audio_081.mp3,3922.79,ChaCha20,10.8,6.2
audio_081.mp3,3922.79,Camellia,20.2,1.4
audio_082.mp3,3971.76,AES,1.3,5.2
audio_082.mp3,3971.76,3DES,15.1,11.4
audio_082.mp3,3971.76,ChaCha20,16.7,9.6
audio_082.mp3,3971.76,Camellia,9.2,9.0
audio_083.mp3,4020.13,AES,20.3,20.9
audio_083.mp3,4020.13,3DES,11.9,18.1
audio_083.mp3,4020.13,ChaCha20,7.5,1.4
audio_083.mp3,4020.13,Camellia,6.6,26.4
audio_084.mp3,4069.11,AES,31.9,4.0
audio_084.mp3,4069.11,3DES,18.5,31.5
audio_084.mp3,4069.11,ChaCha20,0,15.6
audio_084.mp3,4069.11,Camellia,21.8,7.1
audio_085.mp3,4117.48,AES,3.5,3.7
audio_085.mp3,4117.48,3DES,16.1,23.0
audio_085.mp3,4117.48,ChaCha20,3.7,23.5
audio_085.mp3,4117.48,Camellia,10.5,13.9
audio_086.mp3,4166.46,AES,2.7,16.0
audio_086.mp3,4166.46,3DES,15.1,14.3
audio_086.mp3,4166.46,ChaCha20,10.6,8.2
audio_086.mp3,4166.46,Camellia,4.2,15.4
audio_087.mp3,4215.44,AES,27.3,5.2
audio_087.mp3,4215.44,3DES,19.0,12.1
audio_087.mp3,4215.44,ChaCha20,13.5,0
audio_087.mp3,4215.44,Camellia,7.8,1.3
audio_088.mp3,4263.81,AES,34.8,16.9
audio_088.mp3,4263.81,3DES,12.6,16.4
audio_088.mp3,4263.81,ChaCha20,5.5,4.2
audio_088.mp3,4263.81,Camellia,34.6,3.9
audio_089.mp3,4312.79,AES,29.9,17.7
audio_089.mp3,4312.79,3DES,23.0,20.7
audio_089.mp3,4312.79,ChaCha20,7.4,14.7
audio_089.mp3,4312.79,Camellia,4.4,6.8
audio_090.mp3,4361.15,AES,0,6.7
audio_090.mp3,4361.15,3DES,17.4,13.7
audio_090.mp3,4361.15,ChaCha20,10.5,22.8
audio_090.mp3,4361.15,Camellia,27.4,6.0
audio_091.mp3,4410.13,AES,5.2,30.6
audio_091.mp3,4410.13,3DES,17.0,14.4
audio_091.mp3,4410.13,ChaCha20,2.7,7.8
audio_091.mp3,4410.13,Camellia,3.8,8.6
audio_092.mp3,4458.50,AES,5.3,6.5
audio_092.mp3,4458.50,3DES,15.6,13.0
audio_092.mp3,4458.50,ChaCha20,3.8,11.1
audio_092.mp3,4458.50,Camellia,7.7,1.5
audio_093.mp3,4507.48,AES,1.3,13.3
audio_093.mp3,4507.48,3DES,14.9,13.9
audio_093.mp3,4507.48,ChaCha20,27.6,12.0
audio_093.mp3,4507.48,Camellia,4.7,3.7
audio_094.mp3,4556.46,AES,15.8,12.9
audio_094.mp3,4556.46,3DES,16.8,21.0
audio_094.mp3,4556.46,ChaCha20,4.0,6.8
audio_094.mp3,4556.46,Camellia,10.4,25.3
audio_095.mp3,4604.83,AES,12.5,1.2
audio_095.mp3,4604.83,3DES,17.8,19.2
audio_095.mp3,4604.83,ChaCha20,12.0,6.3
audio_095.mp3,4604.83,Camellia,9.0,26.4
audio_096.mp3,4653.81,AES,14.7,21.7
audio_096.mp3,4653.81,3DES,19.4,19.7
audio_096.mp3,4653.81,ChaCha20,25.6,31.2
audio_096.mp3,4653.81,Camellia,52.2,2.4
audio_097.mp3,4702.17,AES,16.5,9.8
audio_097.mp3,4702.17,3DES,21.6,15.3
audio_097.mp3,4702.17,ChaCha20,6.8,10.7
audio_097.mp3,4702.17,Camellia,6.9,9.2
audio_098.mp3,4751.15,AES,1.4,5.3
audio_098.mp3,4751.15,3DES,19.8,15.6
audio_098.mp3,4751.15,ChaCha20,8.8,13.3
audio_098.mp3,4751.15,Camellia,11.7,10.7
audio_099.mp3,4799.52,AES,7.6,2.6
audio_099.mp3,4799.52,3DES,21.7,14.8
audio_099.mp3,4799.52,ChaCha20,11.2,16.3
audio_099.mp3,4799.52,Camellia,2.8,4.1
audio_100.mp3,4848.50,AES,17.9,2.6
audio_100.mp3,4848.50,3DES,13.3,17.7
audio_100.mp3,4848.50,ChaCha20,32.9,30.9
audio_100.mp3,4848.50,Camellia,19.5,20.5
img_001.jpg,14.53,AES,27.4,13.9
