Archivo,Peso (KB),Algoritmo,Energia Encrypt (J),Energia Encrypt (J/byte),Energia Decrypt (J),Energia Decrypt (J/byte)
audio_024.mp3,1146.25,3DES,0.5607,0.00000048,0.7196,0.00000061
audio_024.mp3,1146.25,ChaCha20,0.0000,0.00000000,0.0026,0.00000000
audio_024.mp3,1146.25,Camellia,0.0110,0.00000001,0.0105,0.00000001
audio_025.mp3,1195.23,AES,0.0049,0.00000000,0.0013,0.00000000
audio_025.mp3,1195.23,3DES,0.3890,0.00000032,0.5162,0.00000042
audio_025.mp3,1195.23,ChaCha20,0.0002,0.00000000,0.0028,0.00000000
audio_025.mp3,1195.23,Camellia,0.0245,0.00000002,0.0073,0.00000001
audio_026.mp3,1243.60,AES,0.0031,0.00000000,0.0015,0.00000000
audio_026.mp3,1243.60,3DES,0.9822,0.00000077,0.4955,0.00000039
audio_026.mp3,1243.60,ChaCha20,0.0028,0.00000000,0.0077,0.00000001
audio_026.mp3,1243.60,Camellia,0.0089,0.00000001,0.0015,0.00000000
audio_027.mp3,1292.58,AES,0.0029,0.00000000,0.0051,0.00000000
audio_027.mp3,1292.58,3DES,0.5453,0.00000041,0.7039,0.00000053
audio_027.mp3,1292.58,ChaCha20,0.0011,0.00000000,0.0008,0.00000000
audio_027.mp3,1292.58,Camellia,0.0153,0.00000001,0.0217,0.00000002
audio_028.mp3,1340.95,AES,0.0042,0.00000000,0.0032,0.00000000
audio_028.mp3,1340.95,3DES,0.5291,0.00000039,0.5108,0.00000037
audio_028.mp3,1340.95,ChaCha20,0.0007,0.00000000,0.0006,0.00000000
audio_028.mp3,1340.95,Camellia,0.0162,0.00000001,0.0147,0.00000001
audio_029.mp3,1389.93,AES,0.0055,0.00000000,0.0028,0.00000000
audio_029.mp3,1389.93,3DES,1.7674,0.00000124,0.4547,0.00000032
audio_029.mp3,1389.93,ChaCha20,0.0011,0.00000000,0.0007,0.00000000
audio_029.mp3,1389.93,Camellia,0.0075,0.00000001,0.0197,0.00000001
audio_030.mp3,1438.91,AES,0.0009,0.00000000,0.0045,0.00000000
audio_030.mp3,1438.91,3DES,0.5811,0.00000039,0.9405,0.00000064
audio_030.mp3,1438.91,ChaCha20,0.0033,0.00000000,0.0067,0.00000000
audio_030.mp3,1438.91,Camellia,0.0119,0.00000001,0.0123,0.00000001
audio_031.mp3,1487.28,AES,0.0062,0.00000000,0.0012,0.00000000
audio_031.mp3,1487.28,3DES,0.8580,0.00000056,0.5703,0.00000037
audio_031.mp3,1487.28,ChaCha20,0.0017,0.00000000,0.0020,0.00000000
audio_031.mp3,1487.28,Camellia,0.0054,0.00000000,0.0018,0.00000000
audio_032.mp3,1536.25,AES,0.0017,0.00000000,0.0085,0.00000001
audio_032.mp3,1536.25,3DES,0.6012,0.00000038,1.1451,0.00000073
audio_032.mp3,1536.25,ChaCha20,0.0017,0.00000000,0.0042,0.00000000
audio_032.mp3,1536.25,Camellia,0.0371,0.00000002,0.0000,0.00000000
audio_033.mp3,1584.62,AES,0.0004,0.00000000,0.0082,0.00000001
audio_033.mp3,1584.62,3DES,1.0833,0.00000067,0.6918,0.00000043
audio_033.mp3,1584.62,ChaCha20,0.0005,0.00000000,0.0146,0.00000001
audio_033.mp3,1584.62,Camellia,0.0411,0.00000003,0.0521,0.00000003
audio_034.mp3,1633.60,AES,0.0052,0.00000000,0.0005,0.00000000
audio_034.mp3,1633.60,3DES,2.1807,0.00000130,1.0436,0.00000062
audio_034.mp3,1633.60,ChaCha20,0.0014,0.00000000,0.0024,0.00000000
audio_034.mp3,1633.60,Camellia,0.0496,0.00000003,0.0103,0.00000001
audio_035.mp3,1681.97,AES,0.0047,0.00000000,0.0069,0.00000000
audio_035.mp3,1681.97,3DES,1.8823,0.00000109,1.4982,0.00000087
audio_035.mp3,1681.97,ChaCha20,0.0006,0.00000000,0.0034,0.00000000
audio_035.mp3,1681.97,Camellia,0.0269,0.00000002,0.0042,0.00000000
audio_036.mp3,1730.95,AES,0.0030,0.00000000,0.0048,0.00000000
audio_036.mp3,1730.95,3DES,1.2550,0.00000071,1.0932,0.00000062
audio_036.mp3,1730.95,ChaCha20,0.0031,0.00000000,0.0016,0.00000000
audio_036.mp3,1730.95,Camellia,0.0127,0.00000001,0.0411,0.00000002
audio_037.mp3,1779.32,AES,0.0110,0.00000001,0.0061,0.00000000
audio_037.mp3,1779.32,3DES,0.9597,0.00000053,0.5434,0.00000030
audio_037.mp3,1779.32,ChaCha20,0.0099,0.00000001,0.0007,0.00000000
audio_037.mp3,1779.32,Camellia,0.0185,0.00000001,0.0062,0.00000000
audio_038.mp3,1828.30,AES,0.0040,0.00000000,0.0116,0.00000001
audio_038.mp3,1828.30,3DES,0.7741,0.00000041,1.0170,0.00000054
audio_038.mp3,1828.30,ChaCha20,0.0003,0.00000000,0.0032,0.00000000
audio_038.mp3,1828.30,Camellia,0.0262,0.00000001,0.0128,0.00000001
audio_039.mp3,1877.28,AES,0.0014,0.00000000,0.0005,0.00000000
audio_039.mp3,1877.28,3DES,0.9721,0.00000051,1.2511,0.00000065
audio_039.mp3,1877.28,ChaCha20,0.0028,0.00000000,0.0028,0.00000000
