Archivo,Tamaño (KB),Algoritmo,Tiempo Encrypt (s),Velocidad Encrypt (bytes/s),Tiempo Decrypt (s),Velocidad Decrypt (bytes/s)
audio_027.mp3,1292.58,Camellia,0.009428,140390283.16,0.008691,152290375.74
audio_028.mp3,1340.95,AES,0.002258,608166107.72,0.002179,630123965.00
audio_028.mp3,1340.95,3DES,0.292244,4698573.65,0.283002,4852023.97
audio_028.mp3,1340.95,ChaCha20,0.001201,1142951585.66,0.001397,982989083.48
audio_028.mp3,1340.95,Camellia,0.008618,159330872.28,0.008392,163626712.89
audio_029.mp3,1389.93,AES,0.005545,256694975.80,0.002292,621067244.82
audio_029.mp3,1389.93,3DES,0.305406,4660306.13,0.297419,4785463.61
audio_029.mp3,1389.93,ChaCha20,0.001297,1097774615.16,0.001509,943378375.04
audio_029.mp3,1389.93,Camellia,0.010627,133930818.15,0.009135,155809843.85
audio_030.mp3,1438.91,AES,0.002245,656197034.87,0.002195,671381170.49
audio_030.mp3,1438.91,3DES,0.308821,4771188.86,0.307856,4786138.98
audio_030.mp3,1438.91,ChaCha20,0.001745,844270993.77,0.001351,1090727792.86
audio_030.mp3,1438.91,Camellia,0.010330,142640993.27,0.009358,157457863.24
audio_031.mp3,1487.28,AES,0.002582,589878951.23,0.002476,615039395.62
audio_031.mp3,1487.28,3DES,0.319692,4763871.57,0.309959,4913453.55
audio_031.mp3,1487.28,ChaCha20,0.001344,1132789353.23,0.001223,1245427795.45
audio_031.mp3,1487.28,Camellia,0.009747,156253495.83,0.010806,140942570.12
audio_032.mp3,1536.25,AES,0.002279,690328989.33,0.002047,768479440.95
audio_032.mp3,1536.25,3DES,0.326022,4825208.99,0.330497,4759883.28
audio_032.mp3,1536.25,ChaCha20,0.001278,1230771214.33,0.001207,1303469869.62
audio_032.mp3,1536.25,Camellia,0.009775,160926915.93,0.009152,171880912.79
audio_033.mp3,1584.62,AES,0.002254,719820197.62,0.002108,769811103.78
audio_033.mp3,1584.62,3DES,0.346030,4689338.78,0.341802,4747342.90
