Algoritmo,Archivo,Tamaño (KB),CPU Encrypt (%),CPU Decrypt (%)
3DES,text_001.txt,0.32421875,,
ChaCha20,text_001.txt,0.32421875,,
AES,text_002.txt,0.65234375,,
3DES,text_002.txt,0.65234375,,
ChaCha20,text_002.txt,0.65234375,,
AES,text_003.txt,0.98046875,,
3DES,text_003.txt,0.98046875,,
ChaCha20,text_003.txt,0.98046875,,
AES,text_004.txt,1.30859375,,
3DES,text_004.txt,1.30859375,,
ChaCha20,text_004.txt,1.30859375,,
AES,text_005.txt,1.63671875,,
3DES,text_005.txt,1.63671875,,
ChaCha20,text_005.txt,1.63671875,,
AES,text_006.txt,1.96484375,,
3DES,text_006.txt,1.96484375,,
ChaCha20,text_006.txt,1.96484375,,
AES,text_007.txt,2.29296875,,
3DES,text_007.txt,2.29296875,,
ChaCha20,text_007.txt,2.29296875,,
AES,text_008.txt,2.62109375,,
3DES,text_008.txt,2.62109375,,
ChaCha20,text_008.txt,2.62109375,,
AES,text_009.txt,2.94921875,,
3DES,text_009.txt,2.94921875,,
ChaCha20,text_009.txt,2.94921875,,
AES,text_010.txt,3.27734375,,
3DES,text_010.txt,3.27734375,,
ChaCha20,text_010.txt,3.27734375,,
AES,text_011.txt,3.60546875,,
3DES,text_011.txt,3.60546875,,
ChaCha20,text_011.txt,3.60546875,,
AES,text_012.txt,3.93359375,,
3DES,text_012.txt,3.93359375,,
ChaCha20,text_012.txt,3.93359375,,
AES,text_013.txt,4.26171875,,
3DES,text_013.txt,4.26171875,,
ChaCha20,text_013.txt,4.26171875,,
AES,text_014.txt,4.58984375,,
3DES,text_014.txt,4.58984375,,
ChaCha20,text_014.txt,4.58984375,,
AES,text_015.txt,4.91796875,,
3DES,text_015.txt,4.91796875,,
ChaCha20,text_015.txt,4.91796875,,
AES,text_016.txt,5.24609375,,
3DES,text_016.txt,5.24609375,,
ChaCha20,text_016.txt,5.24609375,,
AES,text_017.txt,5.57421875,,
3DES,text_017.txt,5.57421875,,
ChaCha20,text_017.txt,5.57421875,,
AES,text_018.txt,5.90234375,,
3DES,text_018.txt,5.90234375,,
ChaCha20,text_018.txt,5.90234375,,
AES,text_019.txt,6.23046875,,
3DES,text_019.txt,6.23046875,,
ChaCha20,text_019.txt,6.23046875,,
AES,text_020.txt,6.55859375,,
3DES,text_020.txt,6.55859375,,
ChaCha20,text_020.txt,6.55859375,,
AES,text_021.txt,6.88671875,,
3DES,text_021.txt,6.88671875,,
ChaCha20,text_021.txt,6.88671875,,
AES,text_022.txt,7.21484375,,
3DES,text_022.txt,7.21484375,,
ChaCha20,text_022.txt,7.21484375,,
AES,text_023.txt,7.54296875,,
3DES,text_023.txt,7.54296875,,
ChaCha20,text_023.txt,7.54296875,,
AES,text_024.txt,7.87109375,,
3DES,text_024.txt,7.87109375,,
ChaCha20,text_024.txt,7.87109375,,
AES,text_025.txt,8.19921875,,
3DES,text_025.txt,8.19921875,,
ChaCha20,text_025.txt,8.19921875,,
AES,text_026.txt,8.52734375,,
3DES,text_026.txt,8.52734375,,
ChaCha20,text_026.txt,8.52734375,,
AES,text_027.txt,8.85546875,,
3DES,text_027.txt,8.85546875,,
ChaCha20,text_027.txt,8.85546875,,
AES,text_028.txt,9.18359375,,
3DES,text_028.txt,9.18359375,,
ChaCha20,text_028.txt,9.18359375,,
AES,text_029.txt,9.51171875,,
3DES,text_029.txt,9.51171875,,
ChaCha20,text_029.txt,9.51171875,,
AES,text_030.txt,9.83984375,,
3DES,text_030.txt,9.83984375,,
ChaCha20,text_030.txt,9.83984375,,
AES,text_031.txt,10.16796875,,
3DES,text_031.txt,10.16796875,,
ChaCha20,text_031.txt,10.16796875,,
AES,text_032.txt,10.49609375,,
3DES,text_032.txt,10.49609375,,
ChaCha20,text_032.txt,10.49609375,,
AES,text_033.txt,10.82421875,,
3DES,text_033.txt,10.82421875,,
ChaCha20,text_033.txt,10.82421875,,
AES,text_034.txt,11.15234375,,
3DES,text_034.txt,11.15234375,,
ChaCha20,text_034.txt,11.15234375,,
AES,text_035.txt,11.48046875,,
3DES,text_035.txt,11.48046875,,
ChaCha20,text_035.txt,11.48046875,,
AES,text_036.txt,11.80859375,,
3DES,text_036.txt,11.80859375,,
ChaCha20,text_036.txt,11.80859375,,
AES,text_037.txt,12.13671875,,
3DES,text_037.txt,12.13671875,,
ChaCha20,text_037.txt,12.13671875,,
AES,text_038.txt,12.46484375,,
3DES,text_038.txt,12.46484375,,
ChaCha20,text_038.txt,12.46484375,,
AES,text_039.txt,12.79296875,,
3DES,text_039.txt,12.79296875,,
ChaCha20,text_039.txt,12.79296875,,
AES,text_040.txt,13.12109375,,
3DES,text_040.txt,13.12109375,,
ChaCha20,text_040.txt,13.12109375,,
AES,text_041.txt,13.44921875,,
3DES,text_041.txt,13.44921875,,
ChaCha20,text_041.txt,13.44921875,,
AES,text_042.txt,13.77734375,,
3DES,text_042.txt,13.77734375,,
ChaCha20,text_042.txt,13.77734375,,
AES,text_043.txt,14.10546875,,
3DES,text_043.txt,14.10546875,,
ChaCha20,text_043.txt,14.10546875,,
AES,text_044.txt,14.43359375,,
